response_id,prompt_id,prompt,response_text,source_type
H_0001,P01,How do I stay motivated while studying for exams?,honestly i just make tiny goals. works better than fancy plans for me.,human
H_0002,P01,How do I stay motivated while studying for exams?,tbh sleep properly. also talk to a friend when stuck. not perfect but it helps.,human
H_0003,P01,How do I stay motivated while studying for exams?,i usually keep a messy notebook. sometimes reward myself after finishing. depends on the day.,human
H_0004,P01,How do I stay motivated while studying for exams?,my tip is simple: study in short bursts. dont overcomplicate it.,human
H_0005,P02,What is the best way to manage stress during college?,honestly i just make tiny goals. works better than fancy plans for me.,human
H_0006,P02,What is the best way to manage stress during college?,tbh sleep properly. also talk to a friend when stuck. not perfect but it helps.,human
H_0007,P02,What is the best way to manage stress during college?,i usually keep a messy notebook. sometimes reward myself after finishing. depends on the day.,human
H_0008,P02,What is the best way to manage stress during college?,my tip is simple: study in short bursts. dont overcomplicate it.,human
H_0009,P03,How can I improve my public speaking skills?,honestly i just make tiny goals. works better than fancy plans for me.,human
H_0010,P03,How can I improve my public speaking skills?,tbh sleep properly. also talk to a friend when stuck. not perfect but it helps.,human
H_0011,P03,How can I improve my public speaking skills?,i usually keep a messy notebook. sometimes reward myself after finishing. depends on the day.,human
H_0012,P03,How can I improve my public speaking skills?,my tip is simple: study in short bursts. dont overcomplicate it.,human
H_0013,P04,What should I do if I feel lonely in a new city?,honestly i just make tiny goals. works better than fancy plans for me.,human
H_0014,P04,What should I do if I feel lonely in a new city?,tbh sleep properly. also talk to a friend when stuck. not perfect but it helps.,human
H_0015,P04,What should I do if I feel lonely in a new city?,i usually keep a messy notebook. sometimes reward myself after finishing. depends on the day.,human
H_0016,P04,What should I do if I feel lonely in a new city?,my tip is simple: study in short bursts. dont overcomplicate it.,human
H_0017,P05,How do I balance part-time work and college classes?,honestly i just make tiny goals. works better than fancy plans for me.,human
H_0018,P05,How do I balance part-time work and college classes?,tbh sleep properly. also talk to a friend when stuck. not perfect but it helps.,human
H_0019,P05,How do I balance part-time work and college classes?,i usually keep a messy notebook. sometimes reward myself after finishing. depends on the day.,human
H_0020,P05,How do I balance part-time work and college classes?,my tip is simple: study in short bursts. dont overcomplicate it.,human
H_0021,P06,What are some tips for waking up early every day?,honestly i just make tiny goals. works better than fancy plans for me.,human
H_0022,P06,What are some tips for waking up early every day?,tbh sleep properly. also talk to a friend when stuck. not perfect but it helps.,human
H_0023,P06,What are some tips for waking up early every day?,i usually keep a messy notebook. sometimes reward myself after finishing. depends on the day.,human
H_0024,P06,What are some tips for waking up early every day?,my tip is simple: study in short bursts. dont overcomplicate it.,human
H_0025,P07,How can I stop procrastinating on assignments?,honestly i just make tiny goals. works better than fancy plans for me.,human
