message_id,token_idx,token,pos,tag_,dep,lemma,is_ent,bio_tag
KG_00001,0,People,NOUN,NNS,nsubjpass,people,0,O
KG_00001,1,are,AUX,VBP,auxpass,be,0,O
KG_00001,2,trapped,VERB,VBN,ROOT,trap,0,O
KG_00001,3,near,ADP,IN,prep,near,0,O
KG_00001,4,the,DET,DT,det,the,0,O
KG_00001,5,downtown,NOUN,NN,compound,downtown,0,O
KG_00001,6,bridge,NOUN,NN,pobj,bridge,0,B-LOC
KG_00001,7,",",PUNCT,",",punct,",",0,O
KG_00001,8,need,VERB,VBP,conj,need,0,B-ACT
KG_00001,9,boats,NOUN,NNS,dobj,boat,0,I-ACT
KG_00001,10,immediately,ADV,RB,advmod,immediately,0,I-ACT
KG_00002,0,Send,VERB,VB,advcl,send,0,B-ACT
KG_00002,1,rescue,NOUN,NN,compound,rescue,0,B-ACT
KG_00002,2,teams,NOUN,NNS,dobj,team,0,I-ACT
KG_00002,3,to,ADP,IN,prep,to,0,O
KG_00002,4,Riverside,PROPN,NNP,compound,riverside,0,O
KG_00002,5,Colony,PROPN,NNP,compound,colony,0,O
KG_00002,6,area,NOUN,NN,pobj,area,0,B-LOC
KG_00002,7,",",PUNCT,",",punct,",",0,O
KG_00002,8,flooding,NOUN,NN,nsubj,flooding,0,O
KG_00002,9,is,AUX,VBZ,ROOT,be,0,O
KG_00002,10,severe,ADJ,JJ,acomp,severe,0,O
KG_00003,0,Our,PRON,PRP$,poss,our,0,O
KG_00003,1,house,NOUN,NN,nsubjpass,house,0,O
KG_00003,2,in,ADP,IN,prep,in,0,O
KG_00003,3,Sector,PROPN,NNP,pobj,sector,0,B-LOC
KG_00003,4,12,NUM,CD,nummod,12,0,I-LOC
KG_00003,5,Noida,PROPN,NNP,appos,noida,0,I-LOC
KG_00003,6,is,AUX,VBZ,auxpass,be,0,O
KG_00003,7,submerged,VERB,VBN,ccomp,submerge,0,O
KG_00003,8,",",PUNCT,",",punct,",",0,O
KG_00003,9,please,INTJ,UH,intj,please,0,O
KG_00003,10,send,VERB,VB,ROOT,send,0,B-ACT
KG_00003,11,help,NOUN,NN,dobj,help,0,B-ACT
KG_00003,12,urgently,ADV,RB,advmod,urgently,0,B-ACT
KG_00004,0,Flood,NOUN,NN,compound,flood,0,O
KG_00004,1,waters,NOUN,NNS,nsubj,water,0,O
KG_00004,2,rising,VERB,VBG,advcl,rise,0,O
KG_00004,3,near,ADP,IN,prep,near,0,O
KG_00004,4,Oak,PROPN,NNP,compound,oak,1,B-LOC
KG_00004,5,Street,PROPN,NNP,pobj,street,1,I-LOC
KG_00004,6,",",PUNCT,",",punct,",",0,O
KG_00004,7,families,NOUN,NNS,nsubj,family,0,O
KG_00004,8,need,VERB,VBP,ROOT,need,0,B-ACT
KG_00004,9,evacuation,NOUN,NN,dobj,evacuation,0,I-ACT
KG_00004,10,NOW,ADV,RB,advmod,now,0,I-ACT
KG_00005,0,SOS,PROPN,NNP,nsubj,sos,1,B-LOC
KG_00005,1,from,ADP,IN,prep,from,0,O
KG_00005,2,Lakeview,PROPN,NNP,compound,lakeview,1,B-LOC
KG_00005,3,apartments,NOUN,NNS,pobj,apartment,0,I-LOC
KG_00005,4,",",PUNCT,",",punct,",",0,O
KG_00005,5,ground,NOUN,NN,compound,ground,0,O
KG_00005,6,floor,NOUN,NN,nsubj,floor,0,O
KG_00005,7,flooded,VERB,VBD,parataxis,flood,0,O
KG_00005,8,",",PUNCT,",",punct,",",0,O
KG_00005,9,require,VERB,VBP,ROOT,require,0,B-ACT
KG_00005,10,medical,ADJ,JJ,amod,medical,0,I-ACT
KG_00005,11,aid,NOUN,NN,dobj,aid,0,I-ACT
KG_00006,0,Highway,NOUN,NN,nsubj,highway,0,B-LOC
KG_00006,1,44,NUM,CD,nummod,44,0,I-LOC
KG_00006,2,near,ADP,IN,prep,near,0,O
KG_00006,3,Rampur,PROPN,NNP,pobj,rampur,1,B-LOC
KG_00006,4,completely,ADV,RB,advmod,completely,0,O
KG_00006,5,blocked,VERB,VBN,acl,block,0,O
KG_00006,6,by,ADP,IN,agent,by,0,O
KG_00006,7,flood,NOUN,NN,pobj,flood,0,B-LOC
KG_00006,8,",",PUNCT,",",punct,",",0,O
KG_00006,9,send,VERB,VBP,ROOT,send,0,B-ACT
KG_00006,10,bulldozers,NOUN,NNS,dobj,bulldozer,0,I-ACT
KG_00007,0,Villages,NOUN,NNS,nsubj,village,0,B-LOC
KG_00007,1,along,ADP,IN,prep,along,0,O
KG_00007,2,Chambal,PROPN,NNP,compound,chambal,1,B-LOC
KG_00007,3,river,NOUN,NN,pobj,river,0,I-LOC
KG_00007,4,cut,VERB,VBD,ROOT,cut,0,O
KG_00007,5,off,ADP,RP,prt,off,0,O
KG_00007,6,",",PUNCT,",",punct,",",0,O
KG_00007,7,need,VERB,VB,conj,need,0,B-ACT
KG_00007,8,food,NOUN,NN,dobj,food,0,I-ACT
KG_00007,9,and,CCONJ,CC,cc,and,0,O
KG_00007,10,medicine,NOUN,NN,conj,medicine,0,O
KG_00007,11,immediately,ADV,RB,advmod,immediately,0,O
KG_00008,0,Majuli,PROPN,NNP,compound,majuli,1,B-LOC
KG_00008,1,island,NOUN,NN,compound,island,0,I-LOC
KG_00008,2,Assam,PROPN,NNP,nsubj,assam,1,B-LOC
KG_00008,3,",",PUNCT,",",punct,",",0,O
KG_00008,4,5000,NUM,CD,nummod,5000,0,O
KG_00008,5,people,NOUN,NNS,nsubj,people,0,O
KG_00008,6,stranded,VERB,VBN,ROOT,strand,0,O
KG_00008,7,",",PUNCT,",",punct,",",0,O
KG_00008,8,need,VERB,VBP,conj,need,0,B-ACT
KG_00008,9,helicopter,NOUN,NN,compound,helicopter,0,I-ACT
KG_00008,10,rescue,NOUN,NN,dobj,rescue,0,B-ACT
KG_00009,0,Flash,NOUN,NN,compound,flash,0,O
KG_00009,1,floods,NOUN,NNS,nsubj,flood,0,O
KG_00009,2,in,ADP,IN,prep,in,0,O
KG_00009,3,Coorg,PROPN,NNP,compound,coorg,1,B-LOC
KG_00009,4,Karnataka,PROPN,NNP,pobj,karnataka,1,I-LOC
KG_00009,5,",",PUNCT,",",punct,",",0,O
KG_00009,6,roads,NOUN,NNS,nsubj,road,0,B-LOC
KG_00009,7,washed,VERB,VBD,ROOT,wash,0,O
KG_00009,8,away,ADP,RP,advmod,away,0,O
KG_00009,9,",",PUNCT,",",punct,",",0,O
KG_00009,10,send,VERB,VB,conj,send,0,B-ACT
KG_00009,11,NDRF,PROPN,NNP,dobj,ndrf,1,B-LOC
KG_00010,0,Water,NOUN,NN,compound,water,0,O
KG_00010,1,level,NOUN,NN,nsubj,level,0,O
KG_00010,2,rising,VERB,VBG,ROOT,rise,0,O
KG_00010,3,at,ADP,IN,prep,at,0,O
KG_00010,4,Gandhi,PROPN,NNP,compound,gandhi,1,B-LOC
KG_00010,5,Nagar,PROPN,NNP,compound,nagar,1,I-LOC
KG_00010,6,bus,NOUN,NN,compound,bus,0,I-LOC
KG_00010,7,stand,NOUN,NN,pobj,stand,0,I-LOC
KG_00010,8,",",PUNCT,",",punct,",",0,O
KG_00010,9,evacuation,NOUN,NN,conj,evacuation,0,O
KG_00010,10,needed,VERB,VBN,acl,need,0,B-ACT
KG_00011,0,Families,NOUN,NNS,nsubj,family,0,O
KG_00011,1,stranded,VERB,VBN,acl,strand,0,O
KG_00011,2,on,ADP,IN,prep,on,0,O
KG_00011,3,rooftops,NOUN,NNS,pobj,rooftop,0,O
KG_00011,4,near,ADP,IN,prep,near,0,O
KG_00011,5,Wellington,PROPN,NNP,compound,wellington,1,B-LOC
KG_00011,6,Bridge,PROPN,NNP,pobj,bridge,1,I-LOC
KG_00011,7,",",PUNCT,",",punct,",",0,O
KG_00011,8,send,VERB,VBP,ROOT,send,0,B-ACT
KG_00011,9,boats,NOUN,NNS,dobj,boat,0,I-ACT
KG_00012,0,Brahmaputra,ADJ,JJ,compound,brahmaputra,1,B-LOC
KG_00012,1,overflowing,NOUN,NN,advcl,overflowing,0,O
KG_00012,2,near,ADP,IN,prep,near,0,O
KG_00012,3,Dibrugarh,PROPN,NNP,pobj,dibrugarh,1,B-LOC
KG_00012,4,",",PUNCT,",",punct,",",0,O
KG_00012,5,medical,ADJ,JJ,amod,medical,0,O
KG_00012,6,camps,NOUN,NNS,nsubj,camp,0,B-LOC
KG_00012,7,needed,VERB,VBD,ROOT,need,0,O
KG_00012,8,urgently,ADV,RB,advmod,urgently,0,B-ACT
KG_00013,0,300,NUM,CD,nummod,300,0,O
KG_00013,1,people,NOUN,NNS,nsubj,people,0,O
KG_00013,2,trapped,VERB,VBN,acl,trap,0,O
KG_00013,3,at,ADP,IN,prep,at,0,O
KG_00013,4,community,NOUN,NN,compound,community,0,B-LOC
KG_00013,5,hall,NOUN,NN,pobj,hall,0,I-LOC
KG_00013,6,near,ADP,IN,prep,near,0,O
KG_00013,7,Metro,PROPN,NNP,compound,metro,1,B-LOC
KG_00013,8,Park,PROPN,NNP,pobj,park,1,I-LOC
KG_00013,9,",",PUNCT,",",punct,",",0,O
KG_00013,10,need,VERB,VBP,ROOT,need,0,B-ACT
KG_00013,11,rescue,NOUN,NN,dobj,rescue,0,B-ACT
KG_00014,0,Road,NOUN,NN,nsubj,road,0,B-LOC
KG_00014,1,to,ADP,IN,prep,to,0,O
KG_00014,2,Badrinath,PROPN,NNP,compound,badrinath,0,O
KG_00014,3,temple,NOUN,NN,pobj,temple,0,O
KG_00014,4,completely,ADV,RB,advmod,completely,0,O
KG_00014,5,submerged,VERB,VBN,acl,submerge,0,O
KG_00014,6,",",PUNCT,",",punct,",",0,O
KG_00014,7,pilgrims,VERB,VBZ,ROOT,pilgrim,0,B-ACT
KG_00014,8,need,VERB,VBP,ccomp,need,0,B-ACT
KG_00014,9,help,NOUN,NN,dobj,help,0,B-ACT
KG_00015,0,Request,NOUN,NN,nmod,request,0,B-ACT
KG_00015,1,immediate,ADJ,JJ,amod,immediate,0,I-ACT
KG_00015,2,assistance,NOUN,NN,nsubj,assistance,0,I-ACT
KG_00015,3,at,ADP,IN,prep,at,0,O
KG_00015,4,Tilak,PROPN,NNP,compound,tilak,1,B-LOC
KG_00015,5,Nagar,PROPN,NNP,compound,nagar,1,I-LOC
KG_00015,6,drainage,NOUN,NN,compound,drainage,0,I-LOC
KG_00015,7,area,NOUN,NN,pobj,area,0,I-LOC
KG_00015,8,",",PUNCT,",",punct,",",0,O
KG_00015,9,flooding,VERB,VBG,ROOT,flood,0,O
KG_00016,0,Emergency,NOUN,NN,nsubj,emergency,0,B-ACT
KG_00016,1,at,ADP,IN,prep,at,0,O
KG_00016,2,Yamuna,PROPN,NNP,pobj,yamuna,1,B-LOC
KG_00016,3,floodplain,NOUN,NN,nsubj,floodplain,0,O
KG_00016,4,near,ADP,IN,prep,near,0,O
KG_00016,5,Kalindi,PROPN,NNP,compound,kalindi,1,B-LOC
KG_00016,6,Kunj,PROPN,NNP,compound,kunj,1,I-LOC
KG_00016,7,bridge,NOUN,NN,pobj,bridge,0,I-LOC
KG_00016,8,",",PUNCT,",",punct,",",0,O
KG_00016,9,send,VERB,VBP,ROOT,send,0,B-ACT
KG_00016,10,boats,NOUN,NNS,dobj,boat,0,I-ACT
KG_00017,0,Multiple,ADJ,JJ,amod,multiple,0,O
KG_00017,1,families,NOUN,NNS,nsubj,family,0,O
KG_00017,2,stuck,VERB,VBD,ROOT,stick,0,O
KG_00017,3,at,ADP,IN,prep,at,0,O
KG_00017,4,Rani,PROPN,NNP,compound,rani,1,B-LOC
KG_00017,5,Bagh,PROPN,NNP,compound,bagh,1,I-LOC
KG_00017,6,area,NOUN,NN,pobj,area,0,I-LOC
KG_00017,7,",",PUNCT,",",punct,",",0,O
KG_00017,8,require,VERB,VBP,conj,require,0,B-ACT
KG_00017,9,food,NOUN,NN,dobj,food,0,I-ACT
KG_00017,10,and,CCONJ,CC,cc,and,0,O
KG_00017,11,water,NOUN,NN,conj,water,0,O
KG_00018,0,Flood,ADJ,JJ,compound,flood,0,O
KG_00018,1,victims,NOUN,NNS,nsubj,victim,0,O
KG_00018,2,in,ADP,IN,prep,in,0,O
